ride_id,driver_id,customer_id,pickup_location,drop_location,distance_km,ride_duration,fare_amount,surge_multiplier,ride_date,payment_type
112,133,1005,Hitech City,Kukatpally,4.29,7,234.69,1.4,2025-01-08 04:33:00,Card
113,119,1060,Gachibowli,Kukatpally,9.8,46,456.01,2.3,2025-01-23 00:05:00,Cash
114,118,1064,Gachibowli,Secunderabad,19.59,23,428.29,1.2,2025-01-02 03:03:00,UPI
115,114,1001,Hyderabad,Kukatpally,16.92,26,348.72,2.0,2025-01-28 22:42:00,Cash
116,110,1091,Madhapur,Madhapur,2.22,36,476.38,1.9,2025-01-09 05:15:00,UPI
117,122,1018,Gachibowli,Secunderabad,8.81,7,287.75,2.3,2025-01-04 19:41:00,UPI
118,108,1093,Madhapur,Kukatpally,2.18,32,151.08,2.4,2025-01-08 19:21:00,Card
119,130,1053,Madhapur,Hitech City,22.47,55,237.81,1.9,2025-01-18 14:01:00,UPI
120,100,1018,Gachibowli,Gachibowli,14.53,7,451.99,1.9,2025-01-23 11:39:00,Cash
121,112,1084,Hitech City,Kukatpally,24.68,24,388.82,2.1,2025-01-30 03:38:00,Cash
122,116,1078,Madhapur,Madhapur,22.41,46,335.21,2.0,2025-01-11 10:44:00,Card
123,115,1051,Madhapur,Secunderabad,18.5,15,341.0,1.7,2025-01-25 02:13:00,Card
124,122,1085,Kukatpally,Madhapur,23.36,7,120.51,2.3,2025-01-26 06:19:00,Cash
125,111,1012,Hyderabad,Secunderabad,23.27,32,252.63,2.4,2025-01-09 23:34:00,Cash
126,117,1072,Madhapur,Secunderabad,22.26,31,85.7,1.2,2025-01-03 18:00:00,Card
127,150,1027,Hyderabad,Kukatpally,21.37,59,226.41,2.3,2025-01-09 10:57:00,UPI
128,137,1016,Gachibowli,Madhapur,11.02,16,472.42,1.3,2025-01-02 19:13:00,UPI
129,134,1010,Gachibowli,Kukatpally,17.67,52,270.51,2.1,2025-01-07 11:14:00,UPI
130,150,1062,Madhapur,Gachibowli,22.89,38,423.91,2.4,2025-01-25 16:33:00,Cash
131,127,1011,Gachibowli,Madhapur,5.87,60,128.28,2.2,2025-01-25 03:23:00,Cash
132,130,1014,Kukatpally,Kukatpally,4.24,57,469.3,1.6,2025-01-23 08:48:00,Card
133,112,1038,Hyderabad,Gachibowli,6.17,55,455.49,2.0,2025-01-06 05:01:00,Card
134,139,1078,Gachibowli,Gachibowli,8.75,32,476.58,1.9,2025-01-05 06:00:00,Cash
135,119,1030,Hyderabad,Kukatpally,7.58,6,311.16,1.4,2025-01-06 05:13:00,Card
136,149,1024,Hitech City,Madhapur,9.04,20,259.74,2.0,2025-01-23 07:07:00,Cash
137,150,1077,Hyderabad,Gachibowli,19.07,32,68.0,2.1,2025-01-30 08:26:00,Card
138,125,1022,Hyderabad,Madhapur,4.43,12,200.88,1.5,2025-01-04 17:42:00,Card
139,122,1059,Hitech City,Madhapur,19.62,32,435.61,1.3,2025-01-16 14:35:00,Card
140,103,1031,Hitech City,Kukatpally,16.16,45,61.38,1.3,2025-01-14 17:07:00,Card
141,110,1100,Madhapur,Secunderabad,16.96,27,350.2,1.5,2025-01-17 05:35:00,Cash
142,115,1057,Hitech City,Kukatpally,20.24,49,251.57,1.0,2025-01-16 23:22:00,Cash
143,132,1090,Madhapur,Secunderabad,19.59,53,109.06,1.2,2025-01-08 09:43:00,UPI
144,139,1021,Hyderabad,Kukatpally,15.59,11,60.17,2.2,2025-01-26 02:36:00,Cash
145,109,1083,Hitech City,Gachibowli,11.41,20,495.65,2.1,2025-01-05 19:56:00,Cash
146,133,1071,Madhapur,Gachibowli,7.9,55,196.33,1.8,2025-01-24 03:07:00,UPI
147,125,1040,Madhapur,Madhapur,11.13,47,294.2,1.5,2025-01-20 01:38:00,UPI
148,113,1066,Hyderabad,Hitech City,15.86,16,426.69,1.3,2025-01-20 13:31:00,Cash
149,141,1079,Hyderabad,Hitech City,14.11,23,119.25,1.1,2025-01-16 07:37:00,UPI
150,139,1029,Hyderabad,Secunderabad,4.69,24,84.18,1.2,2025-01-26 01:33:00,UPI
151,123,1019,Gachibowli,Secunderabad,2.34,7,110.6,1.7,2025-01-26 06:50:00,UPI
152,123,1015,Hitech City,Hitech City,10.36,31,255.09,1.4,2025-01-19 13:25:00,Card
153,124,1071,Madhapur,Madhapur,18.32,40,495.89,2.1,2025-01-22 01:13:00,Card
154,131,1061,Hyderabad,Secunderabad,4.64,21,138.79,2.5,2025-01-18 23:47:00,UPI
155,149,1096,Kukatpally,Secunderabad,16.7,49,64.85,2.2,2025-01-15 10:26:00,Card
156,104,1022,Hyderabad,Gachibowli,11.4,26,447.03,2.4,2025-01-08 12:40:00,Card
157,135,1044,Kukatpally,Madhapur,24.94,24,159.01,2.1,2025-01-15 20:02:00,UPI
158,109,1084,Hitech City,Madhapur,5.66,45,465.98,1.9,2025-01-17 06:35:00,Card
159,122,1029,Kukatpally,Madhapur,10.22,54,207.07,2.2,2025-01-05 22:15:00,Card
160,111,1018,Hyderabad,Secunderabad,19.33,59,417.96,2.5,2025-01-08 11:10:00,Cash
161,111,1027,Hyderabad,Gachibowli,15.33,50,248.15,1.3,2025-01-26 04:37:00,Cash
162,119,1036,Hyderabad,Madhapur,3.06,31,51.57,1.5,2025-01-13 04:27:00,Card
163,136,1071,Hyderabad,Secunderabad,9.18,33,149.66,1.2,2025-01-05 00:56:00,UPI
164,142,1054,Madhapur,Hitech City,16.93,51,212.44,1.1,2025-01-18 16:10:00,Cash
165,102,1072,Kukatpally,Gachibowli,12.01,50,331.23,1.0,2025-01-21 06:16:00,Card
166,129,1093,Hitech City,Madhapur,11.36,33,225.86,1.6,2025-01-12 06:06:00,UPI
167,106,1094,Gachibowli,Kukatpally,6.26,58,471.59,2.3,2025-01-09 14:53:00,Cash
168,132,1060,Hyderabad,Kukatpally,17.77,56,428.84,2.3,2025-01-24 00:15:00,Card
169,133,1015,Kukatpally,Secunderabad,21.09,19,248.3,1.4,2025-01-19 02:18:00,Card
170,118,1020,Hyderabad,Madhapur,3.27,17,172.62,2.3,2025-01-23 14:26:00,Card
171,134,1001,Madhapur,Secunderabad,19.88,44,354.39,2.2,2025-01-26 02:16:00,Cash
172,108,1034,Gachibowli,Madhapur,2.79,25,303.0,2.1,2025-01-04 12:13:00,UPI
173,146,1022,Hyderabad,Secunderabad,11.5,6,322.79,1.7,2025-01-19 16:30:00,Cash
174,114,1093,Gachibowli,Secunderabad,22.86,48,280.35,2.1,2025-01-01 15:45:00,Cash
175,120,1086,Hyderabad,Hitech City,8.79,22,452.76,1.9,2025-01-21 01:29:00,UPI
176,121,1086,Hitech City,Secunderabad,10.23,22,443.66,2.2,2025-01-26 06:30:00,Card
177,111,1064,Madhapur,Hitech City,7.83,5,404.91,2.1,2025-01-06 06:48:00,UPI
178,133,1007,Hyderabad,Gachibowli,13.07,35,136.02,2.2,2025-01-13 10:59:00,UPI
179,120,1018,Hitech City,Kukatpally,4.1,49,171.7,2.2,2025-01-21 18:06:00,Card
180,122,1052,Gachibowli,Gachibowli,22.28,10,424.11,1.0,2025-01-21 14:45:00,Cash
181,139,1058,Hyderabad,Madhapur,8.37,17,174.82,2.4,2025-01-15 15:35:00,Card
182,114,1041,Gachibowli,Kukatpally,9.57,5,474.52,1.7,2025-01-10 23:06:00,Card
183,102,1053,Madhapur,Kukatpally,23.4,56,266.11,1.7,2025-01-29 17:10:00,Cash
184,140,1057,Hitech City,Madhapur,7.47,17,236.48,1.6,2025-01-04 22:54:00,Card
185,128,1032,Hyderabad,Gachibowli,8.83,48,115.37,1.5,2025-01-14 17:34:00,Cash
186,130,1028,Kukatpally,Hitech City,24.41,49,396.06,1.8,2025-01-15 20:23:00,Card
187,130,1018,Hitech City,Hitech City,20.11,13,191.36,2.5,2025-01-04 10:38:00,UPI
188,146,1004,Gachibowli,Madhapur,7.59,34,373.41,2.4,2025-01-02 19:59:00,Cash
189,111,1043,Hyderabad,Madhapur,13.56,43,278.6,1.4,2025-01-13 09:51:00,UPI
190,115,1050,Hitech City,Hitech City,13.76,57,274.26,2.1,2025-01-12 16:11:00,UPI
191,103,1067,Gachibowli,Secunderabad,11.62,17,293.85,2.1,2025-01-28 12:50:00,Cash
192,101,1035,Gachibowli,Madhapur,6.38,31,55.68,1.5,2025-01-04 01:34:00,Cash
193,124,1000,Hyderabad,Hitech City,24.1,46,459.19,1.5,2025-01-25 00:06:00,UPI
194,131,1050,Madhapur,Hitech City,21.58,25,245.49,1.7,2025-01-28 20:11:00,Cash
195,114,1002,Madhapur,Secunderabad,9.56,25,113.7,1.0,2025-01-19 04:24:00,Card
196,116,1031,Hitech City,Secunderabad,22.0,40,224.37,2.0,2025-01-29 13:14:00,Cash
197,147,1015,Hitech City,Madhapur,23.94,15,335.92,1.4,2025-01-14 18:08:00,Card
198,119,1059,Madhapur,Secunderabad,3.55,14,481.03,1.2,2025-01-15 08:04:00,UPI
199,148,1013,Gachibowli,Kukatpally,11.51,10,207.17,1.4,2025-01-03 06:42:00,Card
200,113,1071,Gachibowli,Secunderabad,18.78,25,314.23,1.6,2025-01-01 23:18:00,Card
201,138,1087,Kukatpally,Madhapur,16.46,7,265.66,1.7,2025-01-13 18:24:00,Card
202,119,1039,Hitech City,Secunderabad,12.14,24,483.31,1.2,2025-01-09 12:59:00,Cash
203,150,1043,Gachibowli,Gachibowli,17.84,37,113.67,1.7,2025-01-20 19:01:00,Card
204,113,1042,Hyderabad,Gachibowli,8.92,48,91.26,2.4,2025-01-01 01:43:00,Card
205,129,1018,Hitech City,Secunderabad,4.05,8,112.5,1.1,2025-01-14 20:16:00,Card
206,127,1078,Madhapur,Gachibowli,19.82,49,78.43,1.1,2025-01-10 05:43:00,Cash
207,123,1045,Hyderabad,Madhapur,5.93,24,221.22,1.8,2025-01-07 07:21:00,UPI
208,145,1092,Hitech City,Hitech City,6.45,23,150.04,1.8,2025-01-16 12:48:00,Card
209,122,1061,Hyderabad,Madhapur,15.06,12,107.02,2.1,2025-01-26 09:04:00,UPI
210,146,1044,Hitech City,Madhapur,19.4,41,207.3,1.4,2025-01-12 14:34:00,Cash
211,129,1042,Hyderabad,Madhapur,24.72,8,77.83,1.2,2025-01-29 10:05:00,Cash
212,101,1058,Gachibowli,Secunderabad,22.91,58,447.2,1.8,2025-01-06 05:08:00,UPI
213,124,1091,Hyderabad,Hitech City,6.49,56,312.25,2.4,2025-01-20 00:05:00,Cash
214,137,1052,Gachibowli,Hitech City,12.86,28,200.01,2.3,2025-01-20 10:09:00,UPI
215,108,1005,Gachibowli,Madhapur,5.91,56,121.14,1.2,2025-01-29 14:06:00,Card
216,113,1051,Gachibowli,Gachibowli,24.76,41,294.44,2.2,2025-01-05 00:42:00,Cash
217,103,1039,Hyderabad,Secunderabad,21.72,19,397.9,1.9,2025-01-29 14:21:00,UPI
218,120,1021,Hitech City,Secunderabad,8.64,33,202.78,1.1,2025-01-15 19:15:00,UPI
219,106,1040,Hyderabad,Kukatpally,4.2,42,322.93,1.5,2025-01-09 09:17:00,Cash
220,126,1093,Kukatpally,Kukatpally,20.18,9,402.74,1.4,2025-01-17 06:27:00,Card
221,104,1090,Hitech City,Kukatpally,19.36,21,462.23,1.8,2025-01-07 19:03:00,Card
222,112,1048,Kukatpally,Secunderabad,13.61,10,418.1,2.4,2025-01-24 15:29:00,UPI
223,107,1049,Gachibowli,Hitech City,22.77,31,116.23,1.5,2025-01-28 03:24:00,UPI
224,108,1059,Hitech City,Madhapur,14.56,11,192.6,1.0,2025-01-24 11:15:00,Card
225,122,1012,Hitech City,Kukatpally,11.37,42,204.07,2.4,2025-01-05 13:14:00,Card
226,108,1022,Hyderabad,Gachibowli,16.7,58,428.68,1.6,2025-01-11 12:36:00,UPI
227,142,1032,Gachibowli,Gachibowli,13.5,18,343.42,1.2,2025-01-20 09:04:00,Card
228,140,1033,Madhapur,Hitech City,5.69,5,486.1,2.4,2025-01-17 00:41:00,UPI
229,107,1100,Gachibowli,Kukatpally,3.48,57,247.86,2.0,2025-01-04 09:57:00,Card
230,131,1004,Hitech City,Madhapur,18.2,36,77.92,2.4,2025-01-30 09:53:00,Cash
231,110,1040,Madhapur,Kukatpally,3.04,27,428.52,2.1,2025-01-14 14:24:00,Cash
232,124,1074,Kukatpally,Madhapur,17.81,15,380.42,1.4,2025-01-27 10:29:00,Card
233,130,1072,Hitech City,Gachibowli,11.74,52,485.43,1.4,2025-01-20 23:42:00,UPI
234,122,1078,Kukatpally,Gachibowli,9.9,41,98.09,1.5,2025-01-13 16:35:00,Card
235,128,1089,Hitech City,Secunderabad,16.94,35,248.65,1.4,2025-01-08 04:33:00,Cash
236,149,1008,Gachibowli,Kukatpally,10.11,39,65.87,1.7,2025-01-17 14:46:00,UPI
237,148,1002,Hitech City,Kukatpally,4.85,34,467.69,1.0,2025-01-26 00:56:00,Card
238,123,1095,Hitech City,Gachibowli,8.01,34,337.34,1.3,2025-01-21 16:46:00,Card
239,111,1033,Hitech City,Madhapur,15.33,19,352.45,1.6,2025-01-18 03:13:00,Card
240,119,1058,Hyderabad,Madhapur,13.69,13,283.22,1.7,2025-01-14 00:36:00,Card
241,102,1046,Hyderabad,Secunderabad,22.15,50,96.24,1.9,2025-01-15 18:34:00,UPI
242,112,1073,Kukatpally,Madhapur,14.14,30,180.14,1.8,2025-01-24 13:47:00,UPI
243,103,1062,Hitech City,Gachibowli,16.46,23,83.74,2.4,2025-01-30 11:33:00,UPI
244,117,1073,Gachibowli,Hitech City,12.25,25,292.78,1.2,2025-01-28 14:08:00,Cash
245,125,1091,Gachibowli,Kukatpally,2.07,49,205.2,1.8,2025-01-04 21:45:00,Card
246,100,1051,Hyderabad,Kukatpally,7.79,41,305.97,2.0,2025-01-25 22:12:00,UPI
247,104,1010,Hitech City,Madhapur,6.63,36,133.76,2.1,2025-01-05 00:01:00,Card
248,137,1066,Gachibowli,Hitech City,18.65,58,300.81,1.5,2025-01-12 17:37:00,Card
249,117,1006,Kukatpally,Kukatpally,9.22,37,221.63,1.1,2025-01-02 23:24:00,Card
250,120,1022,Madhapur,Gachibowli,2.71,40,161.94,1.0,2025-01-14 20:54:00,Card
251,141,1028,Gachibowli,Gachibowli,19.04,14,144.01,1.5,2025-01-13 08:38:00,UPI
252,130,1050,Hitech City,Gachibowli,17.95,32,156.72,2.2,2025-01-16 06:55:00,UPI
253,105,1097,Madhapur,Madhapur,8.16,33,148.82,1.6,2025-01-25 21:10:00,Cash
254,107,1074,Madhapur,Hitech City,23.02,41,383.85,1.1,2025-01-22 06:33:00,Cash
255,146,1063,Madhapur,Secunderabad,18.96,5,360.43,1.5,2025-01-08 04:05:00,Cash
256,136,1061,Madhapur,Madhapur,23.8,19,179.81,1.7,2025-01-10 15:40:00,Cash
257,140,1077,Kukatpally,Gachibowli,24.71,36,447.07,1.1,2025-01-12 05:30:00,Card
258,121,1085,Hitech City,Madhapur,15.85,21,395.19,2.4,2025-01-17 23:35:00,Card
259,123,1024,Hyderabad,Kukatpally,13.71,20,202.83,2.0,2025-01-25 14:34:00,Cash
260,133,1003,Madhapur,Gachibowli,17.97,44,94.98,2.0,2025-01-09 08:09:00,Card
261,133,1042,Hitech City,Kukatpally,8.69,41,237.51,1.1,2025-01-28 21:09:00,Cash
262,115,1090,Gachibowli,Hitech City,9.4,51,338.63,2.5,2025-01-01 11:59:00,Card
263,118,1025,Kukatpally,Gachibowli,9.13,17,336.5,1.1,2025-01-02 16:11:00,Card
264,116,1008,Hyderabad,Hitech City,5.6,45,167.67,1.5,2025-01-26 18:44:00,Card
265,117,1047,Gachibowli,Kukatpally,15.44,15,467.44,1.3,2025-01-30 19:34:00,Card
266,119,1062,Hyderabad,Gachibowli,8.57,48,161.22,2.4,2025-01-24 11:18:00,Cash
267,111,1064,Hitech City,Kukatpally,7.86,43,83.48,2.5,2025-01-01 01:00:00,Cash
268,129,1042,Gachibowli,Kukatpally,8.08,30,390.84,2.2,2025-01-14 00:08:00,UPI
269,137,1057,Kukatpally,Secunderabad,5.79,52,128.38,2.0,2025-01-21 11:29:00,Card
270,126,1051,Madhapur,Madhapur,21.75,29,307.75,2.3,2025-01-27 23:49:00,Cash
271,146,1077,Hyderabad,Kukatpally,3.78,17,170.47,2.2,2025-01-15 05:12:00,Card
272,115,1096,Hyderabad,Gachibowli,9.33,52,161.3,1.4,2025-01-28 06:15:00,UPI
